,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
136,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,16,0.11440113679660713,0.87848,7.8706629276275635,configs/FGMRES.json
137,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,16,0.11700831128384839,0.8732,7.87351655960083,configs/FGMRES.json
138,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,16,0.11511909562541531,0.88114,8.273273229598999,configs/FGMRES.json
139,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,16,0.1139008616413262,0.8836,8.264418363571167,configs/FGMRES.json
140,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,21,0.11367399077962301,0.88758,8.013490676879883,configs/FGMRES.json
141,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,21,0.11343261993509635,0.88288,7.939778089523315,configs/FGMRES.json
142,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,21,0.11387877110163289,0.88326,8.027339696884155,configs/FGMRES.json
143,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,21,0.11243544509649264,0.88596,7.9973320960998535,configs/FGMRES.json
144,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,21,0.11376325740775192,0.88254,8.085055351257324,configs/FGMRES.json
145,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,26,0.11440381121453813,0.88324,8.413587808609009,configs/FGMRES.json
146,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,26,0.11228956962647733,0.88514,8.762601852416992,configs/FGMRES.json
147,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,26,0.11316621673453395,0.88406,8.50688099861145,configs/FGMRES.json
148,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,26,0.11348782333382315,0.88466,8.627990007400513,configs/FGMRES.json
149,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,26,0.11493624350555061,0.88272,8.383800268173218,configs/FGMRES.json
150,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,31,0.1116905214977176,0.88954,8.629459381103516,configs/FGMRES.json
151,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,31,0.11213423541669224,0.8886,8.681986570358276,configs/FGMRES.json
152,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,31,0.1132329162754093,0.88434,8.761787414550781,configs/FGMRES.json
153,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,31,0.11405858831550701,0.88474,8.646784782409668,configs/FGMRES.json
154,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,31,0.11369187312912318,0.88436,8.659696340560913,configs/FGMRES.json
155,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,41,0.11340922023521831,0.88162,9.546165704727173,configs/FGMRES.json
156,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,41,0.11274897544171451,0.87898,9.65575385093689,configs/FGMRES.json
157,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,41,0.11223881531391337,0.88226,9.612723350524902,configs/FGMRES.json
158,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,41,0.11270180279519879,0.8843,9.588053464889526,configs/FGMRES.json
159,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,41,0.11357515962133768,0.88278,9.568427085876465,configs/FGMRES.json
160,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,51,0.11368734249464671,0.88542,11.21596622467041,configs/FGMRES.json
161,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,51,0.11291371898267226,0.88288,11.321902513504028,configs/FGMRES.json
162,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,51,0.11411106823483652,0.88396,11.239275217056274,configs/FGMRES.json
163,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,51,0.11302051974027805,0.88486,11.252774715423584,configs/FGMRES.json
164,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,51,0.11161181614751162,0.8861,11.256101608276367,configs/FGMRES.json
