,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
207,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,25,0.38534,0.27944230179428275
208,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,25,0.29356,0.27255317996037565
209,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,25,0.28536,0.26945383828474345
210,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,50,0.62632,0.2215682474782533
211,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,50,0.63652,0.21716925534145742
212,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,50,0.554,0.21483177093530093
213,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,50,0.6971,0.22467584484778783
214,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,50,0.63678,0.2202343758431129
215,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100,0.89128,0.1501353189960838
216,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100,0.78906,0.14904404827166431
217,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100,0.88884,0.14321555719995502
218,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100,0.79364,0.1505494427256513
219,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100,0.88786,0.1353866129110116
220,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,250,0.8937,0.11988255360172631
221,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,250,0.89386,0.11961709474394666
222,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,250,0.8932,0.12167122678277813
223,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,250,0.89594,0.11908187470977857
224,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,250,0.89254,0.11810144546014963
225,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,500,0.89998,0.11741598302454537
226,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,500,0.8979,0.11607639380958931
227,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,500,0.89672,0.11714506909405191
